PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n,UserType_n
1,4390000,1300000,1400000,1200.0,3,3,2,1,3,0
1,2085000,3000000,2400000,856.0,2,2,16,1,3,0
1,4400000,3960000,0,155.0,2,3,5,1,2,0
1,2235000,3000000,2500000,920.0,2,2,18,1,3,0
0,1180000,116000,11160000,40.0,5,2,9,1,3,0
0,3390000,4000000,3500000,36.0,10,3,2,1,3,0
0,4017000,3000000,4000000,31.0,14,2,12,1,3,0
0,2535000,3000000,2800000,20.0,5,2,13,1,3,0
0,3825000,3900000,3850000,44.0,6,2,11,1,1,0
0,4110000,5000000,4500000,45.0,12,2,13,1,0,0
0,4077000,3500000,4100000,36.0,3,2,11,1,0,0
0,6868500,7000000,10000000,49.0,11,3,2,1,3,0
1,200000,200000,200000,20.0,2,2,2,3,1,0
1,2650000,3000000,2700000,328.0,1,3,9,1,3,0
2,4500000,4000000,4300000,100.0,3,2,12,1,1,0
1,8000000,8000000,8000000,500.0,2,2,18,1,1,0
1,2000000,3000000,2000000,200.0,1,2,34,1,3,0
2,3000000,3200000,2800000,120.0,3,2,21,0,3,0
0,1400000,1500000,1580000,0.0,0,2,7,0,3,0
0,2451400,2500000,2400000,0.0,50,3,1,1,3,0
1,2000000,3000000,2000000,100.0,1,2,4,1,3,0
2,3000000,4000000,3000000,240.0,2,3,5,0,3,0
2,1000000,1200000,1500000,240.0,2,2,15,0,3,0
0,2000000,2000000,2000000,30.0,5,3,5,1,3,0
0,1980000,2000000,2030000,100.0,5,2,7,1,3,0
0,1000000,1100000,1050000,30.0,5,3,6,1,3,0
2,4000000,3000000,3500000,132.0,3,3,7,0,3,0
2,3850000,4000000,3500000,360.0,3,2,13,0,1,0
2,6000000,6120000,620000,390.0,3,2,7,0,3,0
2,2000000,3000000,2000000,96.0,2,2,8,0,3,0
1,1000000,1000000,1000000,60.2,2,3,1,1,0,0
1,2000000,2000000,2000000,100.0,1,2,5,1,3,0
2,2000000,1500000,2000000,80.0,2,3,5,1,0,0
1,2000000,3000000,2000000,100.0,2,2,6,1,2,0
1,2490000,2241000,0,96.0,2,3,2,1,2,0
1,5000000,4000000,4000000,300.0,1,2,29,1,1,0
1,1000000,1400000,2000000,120.0,1,3,0,1,3,0
1,9900000,10000000,11000000,240.0,2,2,20,1,2,1
1,10000000,12000000,15000000,309.0,2,2,19,1,2,1
1,1600000,2000000,2000000,75.0,1,2,20,1,2,1
1,3500000,4000000,3000000,170.0,2,2,23,1,2,1
1,3350000,3500000,3000000,240.0,2,2,29,1,2,1
1,1700000,2000000,1500000,208.0,1,2,34,1,2,1
1,1650000,2000000,2500000,144.0,1,3,2,1,2,1
1,1200000,2000000,1500000,150.0,1,2,26,4,2,1
1,3900000,4000000,4500000,150.0,1,2,19,3,2,1
1,10600000,12000000,10000000,150.0,2,2,11,1,2,1
1,1600000,3000000,2000000,98.0,2,0,16,1,2,1
1,2350000,2000000,1500000,150.0,1,2,17,4,2,1
1,1700000,1800000,2000000,200.0,2,2,20,4,2,1
1,3200000,5000000,3000000,218.0,2,2,16,1,2,1
1,7500000,8000000,8500000,183.0,2,2,19,1,2,1
1,9000000,10000000,8000000,200.0,2,2,18,1,0,1
1,7900000,8000000,8500000,320.0,2,2,20,1,0,1
1,10000000,8000000,9500000,344.0,2,3,13,4,1,1
1,4000000,4500000,3500000,120.0,2,2,18,1,1,1
1,8900000,7000000,7500000,180.0,2,2,18,1,2,1
1,6790000,7000000,7500000,330.0,2,2,35,1,2,1
1,3000000,2500000,3500000,145.0,2,2,19,1,2,1
